group,t,q,qd,tau_ext_true,r,tau_f_true
A,0,0,0,0,0,0
A,0.01,0.0041509474,0.79150199,0,0.145711,0.16583005
A,0.02,0.015262076,1.3947166,0,0.14021853,0.17789433
A,0.03,0.031542766,1.8316338,0,0.14578824,0.18663268
A,0.04,0.051469245,2.1298445,0,0.15550762,0.19259689
A,0.05,0.073790714,2.3160273,0,0.16529404,0.19632055
A,0.06,0.09751169,2.4144055,0,0.17394786,0.19828811
A,0.07,0.12186296,2.4459605,0,0.18062766,0.19891921
A,0.08,0.14626749,2.4281742,0,0.18562581,0.19856348
A,0.09,0.17030568,2.3751203,0,0.18891153,0.19750241
A,0.1,0.19368267,2.2977652,0,0.19071712,0.1959553
A,0.11,0.21619927,2.2043806,0,0.19141643,0.19408761
A,0.12,0.2377273,2.1009939,0,0.19129454,0.19201988
A,0.13,0.25818941,1.9918309,0,0.19050484,0.18983662
A,0.14,0.27754315,1.8797228,0,0.18925693,0.18759446
A,0.15,0.29576883,1.7664597,0,0.18750125,0.18532919
A,0.16,0.31286071,1.6530872,0,0.18556185,0.18306174
A,0.17,0.32882073,1.5401449,0,0.18351475,0.1808029
A,0.18,0.34365453,1.4278524,0,0.18151568,0.17855705
A,0.19,0.35736889,1.3162482,0,0.1791102,0.17632496
A,0.2,0.36997052,1.2052894,0,0.17706073,0.17410579
A,0.21,0.38146557,1.0949203,0,0.17469888,0.17189841
A,0.22,0.39185979,0.98511528,0,0.17256629,0.16970231
A,0.23,0.4011589,0.87590372,0,0.17029474,0.16751808
A,0.24,0.40936926,0.76738058,0,0.1681796,0.16534763
A,0.25,0.41649853,0.659708,0,0.16605862,0.16319435
A,0.26,0.42255628,0.55311021,0,0.16399507,0.16106377
A,0.27,0.42755464,0.44786264,0,0.16184825,0.15897013
A,0.28,0.43150859,0.34426156,0,0.15977674,0.15698751
A,0.29,0.43443569,0.2424614,0,0.15786725,0.15563267
A,0.3,0.4363506,0.14133381,0,0.15713214,0.15874761
A,0.31,0.43721898,0.027868693,0,0.16440362,0.20782848
A,0.32,0.43724835,0.00045209771,0,0.12671064,0.24910892
A,0.33,0.43725036,0.00084934773,0,0.063527081,0.24833264
A,0.34,0.4372468,0.0010792223,0,0.0078358517,0.24788627
A,0.35,0.43723783,0.00085439335,0,-0.04756167,0.24832282
A,0.36,0.43722341,0.0003754501,0,-0.10529916,0.24925942
A,0.37,0.43720128,-0.0048204512,0,-0.16571694,-0.24090566
A,0.38,0.43698645,-0.0553587,0,-0.20178861,-0.18415634
A,0.39,0.43581792,-0.18216837,0,-0.18554048,-0.15625978
A,0.4,0.433318,-0.31505662,0,-0.16871783,-0.15648456
A,0.41,0.42954567,-0.43575,0,-0.16092275,-0.15873141
A,0.42,0.42464455,-0.54066205,0,-0.15846384,-0.16081525
